4 Blondes: 4 Blondes, No Safe Place, Pleading Guilty, Long After Midnight, Exclusive, Lake Wobegon days
A Case of Need: A Case of Need, Exclusive, Jacob Have I Loved, Pleading Guilty, No Safe Place, The Cradle Will Fall
4 Blondes: 4 Blondes, No Safe Place, Pleading Guilty, Long After Midnight, Exclusive, Lake Wobegon days
A Bend in the Road: A Bend in the Road, Exclusive, The Cradle Will Fall, No Safe Place, Family Album, Lake Wobegon days
A Heartbreaking Work of Staggering Genius: A Heartbreaking Work of Staggering Genius, No Safe Place, A Civil Action, Long After Midnight, Exclusive, A Day Late and a Dollar Short
A Fine Balance: A Fine Balance, Exclusive, No Safe Place, Long After Midnight, Deck the Halls (Holiday Classics), The Cradle Will Fall
A Case of Need: A Case of Need, Exclusive, Jacob Have I Loved, Pleading Guilty, No Safe Place, The Cradle Will Fall
A Walk to Remember: A Walk to Remember, The Rescue, The Killing Game: Only One Can Win...and the Loser Dies, The Cradle Will Fall, Granny Dan, Fine Things
A Civil Action: A Civil Action, No Safe Place, Exclusive, Jacob Have I Loved, Long After Midnight, The Cradle Will Fall
2nd Chance: 2nd Chance, The Next Accident, The Ghost, Exclusive, Last Man Standing, Unspeakable
Harry Potter and the Chamber of Secrets (Book 2): Harry Potter and the Chamber of Secrets (Book 2), Harry Potter and the Goblet of Fire (Book 4), Harry Potter and the Prisoner of Azkaban (Book 3), Harry Potter and the Sorcerer's Stone (Book 1), Exclusive, The Cradle Will Fall
1st to Die: A Novel: 1st to Die: A Novel, Exclusive, The Cradle Will Fall, No Safe Place, Fine Things, The Face of Deception
4 Blondes: 4 Blondes, No Safe Place, Pleading Guilty, Long After Midnight, Exclusive, Lake Wobegon days
